open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-08-01 11:00:00,2.951,2.9705,2.9384,2.9689,25371352.6,2025-08-01 11:59:59.999,74939198.58068,103371,13792950.9,40737912.91871,0
2025-08-01 12:00:00,2.9689,3.0059,2.9651,2.9923,61001835.2,2025-08-01 12:59:59.999,182235526.88564,192169,30583790.0,91372019.7952,0
2025-08-01 13:00:00,2.9924,3.017,2.929,2.9569,96796065.8,2025-08-01 13:59:59.999,288066264.58976,288939,48098844.4,143132989.75834,0
2025-08-01 14:00:00,2.957,3.0575,2.9348,3.0518,99726669.1,2025-08-01 14:59:59.999,300059952.75391,331712,50465244.0,151862834.24153,0
2025-08-01 15:00:00,3.0518,3.0576,3.0078,3.0423,54505655.0,2025-08-01 15:59:59.999,165313499.577,217545,24165344.2,73286134.98022,0
2025-08-01 16:00:00,3.0423,3.0517,3.0042,3.011,35270306.1,2025-08-01 16:59:59.999,106851184.3374,153294,16376954.4,49611456.43755,0
2025-08-01 17:00:00,3.0109,3.0326,2.9845,3.0015,49188999.7,2025-08-01 17:59:59.999,147769896.56539,214601,24195385.6,72711991.54369,0
2025-08-01 18:00:00,3.0014,3.03,2.9735,3.0096,60091470.7,2025-08-01 18:59:59.999,180468128.4807,236671,30516728.9,91645211.08935,0
2025-08-01 19:00:00,3.0094,3.0317,2.9962,3.0134,42894450.7,2025-08-01 19:59:59.999,129275699.12858,202559,21831599.5,65793182.06435,0
2025-08-01 20:00:00,3.0133,3.0214,2.9544,3.0071,53697531.2,2025-08-01 20:59:59.999,160262577.89042,255063,26752705.0,79836844.10264,0
2025-08-01 21:00:00,3.0071,3.0287,2.9907,2.9945,28888592.3,2025-08-01 21:59:59.999,87011131.85046,138185,14067933.1,42362817.04834,0
2025-08-01 22:00:00,2.9945,2.9984,2.893,2.9231,106519102.2,2025-08-01 22:59:59.999,312191035.67362,386777,52244807.0,153116851.01905,0
2025-08-01 23:00:00,2.9231,2.9701,2.9162,2.9602,42229763.2,2025-08-01 23:59:59.999,124511288.67988,169673,21227001.4,62593084.85622,0
2025-08-02 00:00:00,2.9602,2.985,2.9468,2.9781,41168772.9,2025-08-02 00:59:59.999,122013630.97751,151647,19766571.5,58577861.2825,0
2025-08-02 01:00:00,2.9781,2.9825,2.9601,2.9761,15225152.4,2025-08-02 01:59:59.999,45242897.97067,63103,5861267.2,17417241.19897,0
2025-08-02 02:00:00,2.9761,2.9799,2.969,2.9755,8654773.2,2025-08-02 02:59:59.999,25745328.0759,52170,3992071.7,11876932.79132,0
2025-08-02 03:00:00,2.9755,2.9828,2.9722,2.9824,8734467.3,2025-08-02 03:59:59.999,26005764.11585,52278,4490534.0,13371992.35779,0
2025-08-02 04:00:00,2.9824,3.0199,2.9785,3.0184,21509885.2,2025-08-02 04:59:59.999,64547853.79822,91029,11708453.6,35132613.37305,0
